item_id,price,shop_id,shop_title,skuurl,sold,title,totalSoldQuantity
578889232996,1049.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=578889232996,2,英特尔/intel NUC7CJYH  迷你智能电脑主机 赛扬双核 赛扬NUC主机,8
583948146925,3899.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=583948146925,3,英特尔/intel NUC8i7BEH 8代智能酷睿i7处理器 迷你电脑NUC主机,5
578082440623,2049.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=578082440623,7,Intel/英特尔 i5-8400搭技嘉B360M AORUS PRO主板套装CPU主板套装,34
565070855478,4998.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=565070855478,0,Intel/英特尔 i7 8700k搭技嘉Z370主板 盒装CPU电脑WIFI主板套装,41
583817901454,2299.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=583817901454,2,intel/英特尔 NUC8i3BEH 8代智能酷睿i3处理器 迷你电脑NUC主机,3
559575621959,4298.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=559575621959,0,Intel/英特尔 酷睿i7 8700k搭技嘉Z370 GAMING 3主板 CPU主板套装,398
574516647114,2999.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=574516647114,1,Intel/英特尔 900p 280G 固态硬盘 PCI-E接口类型 傲腾技术SSD,10
586009480410,2059.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=586009480410,5,Intel/英特尔 i5-9400F搭技嘉B360M AORUS PRO套装CPU主板套装,6
559700227945,3548.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=559700227945,2,Intel/英特尔 酷睿i7-8700搭华硕Z370-H/F主板 盒装cpu主板套装 8700华硕主板套装,108
583612628578,2999.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=583612628578,1,英特尔/intel NUC8i5BEH 8代智能酷睿i5处理器 迷你电脑NUC主机,6
554016723595,7399.00,128654227,英特尔官方旗舰店,//detail.m.tmall.com/item.htm?id=554016723595,0,Intel/英特尔 i9-7900X 酷睿盒装处理器 台式机电脑10核CPU 7900x,345
