item_id,price,shop_id,shop_title,skuurl,sold,title,totalSoldQuantity
521444498356,27.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=521444498356,1,大学文科数学(河南省十二五普通高等教育规划教材)/祁传达,3
531596064872,37.40,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=531596064872,0,为什么我的网店更赚钱(附光盘淘宝开店必读)/前沿文化,1
575665215320,70.30,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=575665215320,2,ISO15189医学实验室认可质量手册与程序文件,2
540484245510,38.70,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=540484245510,6,科技英语写作指南 双语版,25
529043795689,162.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=529043795689,1,[按需印刷]心律失常电生理学/诊断和消融图谱,58
560504419309,51.80,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=560504419309,8,"通信原理 蒋青,范馨月,陈善学",12
560433210772,79.20,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=560433210772,1,[按需印刷]电力系统电压稳定性分析,13
560500255568,112.50,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=560500255568,4,[按需印刷]脑磁共振影像数据的时空分析,20
578754903876,58.50,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=578754903876,1,混沌时间序列智能预测方法及其应用,2
573460357286,101.10,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=573460357286,1,数据包络分析及其应用案例,1
586274920312,60.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=586274920312,3,沸石分子筛的绿色合成/肖丰收 孟祥举,4
520446739262,29.30,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=520446739262,2,力学与理论力学(上册)(第二版)杨维纮,23
520536668052,27.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=520536668052,0,数学教育研究方法论  李士錡,22
520736209486,61.60,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=520736209486,0,控轧控冷钢的显微组织形貌及分析,5
42596849188,33.60,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=42596849188,0,优秀大学生成长手册（第15版）,555
537172908073,77.40,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=537172908073,1,量子关联的数学刻画,8
581325770113,69.52,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=581325770113,1,【官方】超声标准切面图解（修订版）张梅,33
547845075644,478.40,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=547845075644,0,分子克隆实验指南（第四版平装版） （美）M.R.格林 科学出版社 冷泉港实验室,21
576826122877,132.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=576826122877,2,荧光分析法(第3版),4
521444534209,51.00,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=521444534209,1,高等代数 丘维声,16
560278432096,71.10,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=560278432096,1,[按需印刷]极化SAR理论/方法与应用,4
556244218271,116.10,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=556244218271,1,数学它的内容方法和意义 （全3册）/亚历山大洛夫,5
520532089282,32.30,71918597,科学出版社旗舰店,//detail.m.tmall.com/item.htm?id=520532089282,1,电能生产过程 李林川,20
